card_id,score,notes
1,0,"Saga senza capitoli o effetti. Ingiocabile."
245,1,"Testo confuso con virgolette errate e riferimenti a carte inesistenti ('The Treasure Hunt')."
246,1,"Tipo 'Fortification' raro, crea un token 0/0 (inutile), testo sintatticamente rotto."
247,2,"Regole confuse (Crew su creatura), trigger strani ('every opponent's upkeep'). Poco tematico per Gran Torino."
248,0,"Riferimento storico (Alexander the Great) non MHA. Nessun testo di regole."
249,4,"Tematicamente interessante per Toga (copia/esilia), ma il testo è scritto male ('donTaperIt!')."
250,0,"Nessun testo delle regole."
251,0,"Nessun testo delle regole."
252,2,"Testo 'player-or-elves player duo' insensato. Non riflette l'Erasure cloth di Aizawa."
253,1,"Uraraka dovrebbe far volare le cose, qui esilia mani e fa scry. Testo Equipment su creatura."
789,1,"Testo confuso ('The Storyteller's Playbook'). Kendo ha mani giganti, qui crea pedine."
790,0,"Nessun testo delle regole."
791,2,"Tematicamente Jiro (suono) non c'entra con equipaggiamenti/Wurm. Testo molto confuso."
792,3,"Mr. Compress che crea Treasure (biglie) è un buon flavor, ma il resto del testo è caotico."
793,1,"Tetsutetsu (acciaio) non ha abilità difensive qui. Testo 'Plot Twist' non esiste in MTG."
794,1,"Equipaggiamento con 'Crew 4'? Riferimenti a carte non esistenti ('Bringer of Yavimaya')."
795,1,"Deku's Notebook dovrebbe analizzare, non avere Hexproof se controlli terre. Testo rotto."
796,2,"Land con 'Poison counters'. USJ dovrebbe essere varia, ma il testo è debole."
797,1,"Seiji (Meatball) non riflette il quirk. Testo 'Lesson 0' e regole confuse."
798,2,"Abilità difensiva vaga. Tetsutetsu dovrebbe essere indistruttibile o artefatto."
799,1,"Riferimento a Niv-Citrix (MTG lore) fuori contesto. Testo rotto."
800,2,"Chronostasis ferma il tempo. Menziona 'time counters' (buono), ma il testo è illeggibile."
801,3,"Land che fa danno quando entra una creatura. Semplice e funzionante."
802,1,"Land con 'Plainswalk' e rigenerazione. Costo di mana nel testo assurdo."
803,1,"Mana vincolato a non-creature. Abilità strana per una location."
804,1,"Honoka Todoroki? Personaggio dubbio. Testo Equipaggiamento confuso."
805,0,"Riferimento a Ichabod Crane. Testo 'Bears' e 'Wolves'. Incoerente."
806,0,"Kha'Zix è un personaggio di League of Legends, non MHA."
807,1,"Professor Gage? Riferimenti a 'Treasure Island'. Allucinazione."
808,1,"Riferimenti a 'Rakdos Ascendancy'. Testo troppo lungo e confuso."
809,1,"Crea token Spirit. Non molto tematico per l'accademia."
810,2,"Land che produce mana solo per artefatti. Ok, ma semplice."
811,2,"Land che interagisce col cimitero. Accettabile."
812,1,"Alchemist? Seiji non è un alchimista. Testo flavor text check non esiste."
813,0,"Riferimento a Tarkir (MTG Lore)."
814,0,"Nome 'The Second World War' per Aoyama? Assolutamente no."
815,3,"Hagakure (Invisibile). Abilità che da 'menace' (difficile da bloccare) è tematica. Testo sporco."
